Date,Open,High,Low,Close,Adj Close,Volume
2007-10-05,67.35001373291016,82.1250228881836,62.36251449584961,75.45001983642578,48.56711959838867,641411742.0
2007-10-08,78.00001525878906,78.00001525878906,71.13751983642578,71.58751678466797,46.080848693847656,95003786.0
2007-10-09,71.62501525878906,77.13751983642578,67.76251220703125,76.46251678466797,49.2188720703125,87544282.0
2007-10-10,78.45001983642578,78.75001525878906,76.50001525878906,77.17501831054688,49.67750930786133,50948533.0
2007-10-11,90.0000228881836,90.0000228881836,76.50001525878906,85.80001831054688,55.22943115234375,79740716.0
2007-10-12,84.0000228881836,88.42501831054688,83.2500228881836,85.23751831054688,54.867340087890625,74558093.0
2007-10-15,87.0000228881836,87.5250244140625,85.61251831054688,86.36251831054688,55.59149169921875,31361229.0
2007-10-16,86.47502136230469,96.6750259399414,85.8750228881836,95.1750259399414,61.264102935791016,103960872.0
2007-10-17,85.5000228881836,105.0000228881836,79.57501983642578,102.60002136230469,66.04354858398438,153657194.0
2007-10-18,104.2500228881836,112.0875244140625,94.76251983642578,99.0000228881836,63.72624969482422,109963349.0
2007-10-19,96.7500228881836,102.6750259399414,93.7500228881836,98.66252136230469,63.50900650024414,82699868.0
2007-10-22,96.6750259399414,100.38752746582031,94.1250228881836,97.35002136230469,62.664154052734375,54190054.0
2007-10-23,99.7500228881836,105.22502899169922,99.7500228881836,104.28752899169922,67.12982940673828,55946191.0
2007-10-24,106.5000228881836,107.6250228881836,101.51252746582031,102.6750259399414,66.09183502197266,47291377.0
2007-10-25,99.1875228881836,104.85002899169922,90.48751831054688,102.45002746582031,65.947021484375,25891866.0
2007-10-26,104.2500228881836,107.2125244140625,101.4375228881836,105.5250244140625,67.9263916015625,46777518.0
2007-10-29,107.2500228881836,110.25003051757812,106.72502899169922,107.66252899169922,69.30228424072266,32743273.0
2007-10-30,109.12503051757812,113.0250244140625,105.9000244140625,110.06253051757812,70.8471908569336,59941283.0
2007-10-31,110.62503051757812,114.82502746582031,110.25003051757812,112.35002899169922,72.31965637207031,33491526.0
2007-11-01,115.12503051757812,115.9875259399414,108.93753051757812,109.8375244140625,70.70232391357422,37974369.0
2007-11-02,105.8625259399414,112.50003051757812,105.0000228881836,111.82502746582031,71.981689453125,24001269.0
2007-11-05,111.75003051757812,116.62503051757812,111.07502746582031,114.1125259399414,73.45416259765625,29124851.0
